zfs,0.07549166,3920416
aes.1.bz2,0.984679052,4031421
aes.1.pbz2,0.498753745,4031559
1.bz2.aes.1.bz2,0.734538416,759578
1.pbz2.aes.1.pbz2,0.70022242,762230
aes.9.bz2,1.160843027,4025433
aes.9.pbz2,0.718463223,4026045
9.bz2.aes.9.bz2,1.170449443,764960
9.pbz2.aes.9.pbz2,1.07057647,765327
aes.1.gz,0.388124131,4121233
aes.1.pgz,0.20292729,4124156
1.gz.aes.1.gz,0.184910623,1096497
1.pgz.aes.1.pgz,0.15319365,1095092
aes.9.gz,0.425823567,4035287
aes.9.pgz,0.224412492,4039404
9.gz.aes.9.gz,1.28472868,914924
9.pgz.aes.9.pgz,0.433872911,915676
